iter,energy,gamma[0],beta[0],phi[0],theta[0],gamma[1],beta[1],phi[1],theta[1],gamma[2],beta[2],phi[2],theta[2],gamma[3],beta[3],phi[3],theta[3],gamma[4],beta[4],phi[4],theta[4],gamma[5],beta[5],phi[5],theta[5],gamma[6],beta[6],phi[6],theta[6],gamma[7],beta[7],phi[7],theta[7],gamma[8],beta[8],phi[8],theta[8],gamma[9],beta[9],phi[9],theta[9],gamma[10],beta[10],phi[10],theta[10],gamma[11],beta[11],phi[11],theta[11]
18,-36.21187624335289,0.6233701818254574,0.6340569746808568,0.518402115388788,0.747285988455691,0.5345408829693142,0.7662282477997481,0.5647490900131168,0.7720124473104898,0.5799426352542991,0.7922278241340985,0.6230433136920712,0.8010567740208803,0.6395710483453452,0.5971862390044145,0.7776225135423667,0.6369501542822411,0.7639624103231512,0.6495888185498087,0.7516494055857911,0.6485528215584984,0.7639108975103454,0.6686716822809627,0.7799402038732655,0.7620304218679774,0.7614138257442666,0.7752969851295012,0.6986848099371951,0.7536588838972432,0.6572278223546149,0.7190013963846213,0.6337006686465203,0.7202272545251545,0.6262016493151554,0.7371032101783611,0.714242701758793,0.7835869321282792,0.748007232140061,0.7493872089817799,0.6849783592569985,0.7062128296311675,0.62377822937794,0.6528116914150791,0.6376126876198046,0.6276002010913387,0.7132065663348406,0.6266781336914753,0.7662028382081235,0.7458038001280339
19,-36.25729635357857,0.6231386983594231,0.6353651480662348,0.5173544123832398,0.7479253145235341,0.5345686741526499,0.7680473474099887,0.5647896089085545,0.7758872753774492,0.5810454119187043,0.789502667090766,0.6237161290077667,0.8002696781920378,0.6411196764129159,0.5972518295403653,0.7796913720124612,0.6380215140545227,0.7663114151368451,0.6505112025925072,0.7521231305493344,0.6493283144445882,0.7662552086995031,0.6709969723032007,0.7835755569036993,0.7646864016826372,0.7595369942936966,0.7813751322430916,0.7015579276771721,0.7572883282624031,0.6559017822526052,0.7208421793425648,0.6352285759445406,0.719076488805198,0.625006235397344,0.7393257768323086,0.7154227870946406,0.7861927286319171,0.7492598031148201,0.7511065779745542,0.6847244178567392,0.7053412439749585,0.6268638760283144,0.6565015217252528,0.6408840840856744,0.6282028227914039,0.7135858360268897,0.6279710217349739,0.7678889908526684,0.7477251040425138
20,-36.26527380943298,0.6234642915569303,0.6359704671346335,0.5168562315415002,0.7480842566885093,0.534687125226243,0.7673737646729194,0.5641538217982909,0.7759037694553481,0.5810553369917224,0.788189097659564,0.6234782185159107,0.799121971546957,0.6414783423510634,0.5968074778774344,0.779571125435996,0.6377584657860391,0.765883164394044,0.6505846999632835,0.7517619285845918,0.649434286818667,0.765495922778154,0.6707820254661353,0.7830231440900723,0.7636390381867447,0.7590333697969436,0.7820917627222121,0.7017316176013356,0.7572731931811635,0.6545215357409049,0.7204882921509788,0.6350177295809403,0.7180880976844322,0.6242754459736423,0.7390388680386978,0.7149100126776932,0.7855745359553561,0.7489228050134454,0.7512689701765859,0.6837577488433257,0.7044470551246554,0.6277928664474325,0.6572193955434688,0.6412879473966189,0.6282803523089794,0.7130439690159402,0.6276199708590118,0.7674814713770407,0.7474897921463962
21,-36.30856767296791,0.6233403187813324,0.6360197356817736,0.5164198811571634,0.7481953263764249,0.5369276296179036,0.7635272203043703,0.56333540470298,0.7724891783560187,0.581757647478844,0.7834394463414458,0.6240334829357692,0.7951837916262633,0.642676701959144,0.5966173922643934,0.7766381684794758,0.6370005352926121,0.7641381212897097,0.6517568218226328,0.7512798553570467,0.6509565036870762,0.7628064893877555,0.6697719427258133,0.7804741098554706,0.7613053074629373,0.7556721329169687,0.7800919616593344,0.6996249658756185,0.7555860573862851,0.6516345281917005,0.7209176962595051,0.6321494837679782,0.7191381543605776,0.6233697818152866,0.7384187868344664,0.7133135226898665,0.7819292748183503,0.7478731212633206,0.7489617769672166,0.6813555470033297,0.7013150134519719,0.6304834671741976,0.6581950661630043,0.6419123712048921,0.6286196652209571,0.7104706024316679,0.6286351783461999,0.7656020878317951,0.7449080711330707
22,-36.31082338094711,0.6237768324787468,0.6354353389960323,0.5169647202914034,0.7463426599645968,0.5374573078167671,0.7614942393814736,0.5639589789765632,0.7702086783654362,0.5820558326193536,0.7814722242186629,0.6230721017295114,0.792596168731369,0.6418791480379895,0.5960518915964033,0.7748252396240628,0.6368771806161914,0.7622943097089202,0.6515538119579423,0.7501955895270479,0.6510153452147153,0.760314017892309,0.6681335947988615,0.7776219482918899,0.758389225614289,0.7541222878643579,0.7775396980330183,0.6976338196589287,0.7534914314038766,0.6498936746638049,0.7198248498503657,0.6315450513261894,0.7178679319389462,0.6243410567128985,0.7359406904253176,0.7130591734458916,0.7790406352420288,0.746392532718168,0.7472237844651306,0.6799208968191219,0.6997177756289595,0.6305018214356465,0.6576892011037697,0.6413396723649476,0.6280553050085996,0.7091237275118346,0.6274701136252826,0.763833407247195,0.7432360895586803
23,-36.31594264507294,0.6235762448359656,0.6352938674878159,0.5164886325872964,0.7452814125441116,0.5373852335341234,0.7620946535550359,0.564235138468232,0.7701194130421398,0.5817988886005709,0.7823724368453371,0.6226683188661981,0.7932229709587715,0.641728139915479,0.5958091168370403,0.7753246633981308,0.637174915382499,0.7621840839710365,0.6508369293038934,0.7501743583689657,0.6507665139110144,0.7603800930005625,0.6679499185579849,0.7770430797128232,0.7579064286866289,0.7547303101484344,0.776971214078321,0.6973146488445316,0.7536506941487443,0.6497641732853879,0.7193269151958,0.6327681246194414,0.7169761354186912,0.6253130702391397,0.7354946277041188,0.7131894064730468,0.7788387668972204,0.7464534166871527,0.7471858014048384,0.6805802949361816,0.6999816872478348,0.6296105740490375,0.6572403241925663,0.6408549775215334,0.6276159795022609,0.7094365167573187,0.6269068044181274,0.7640925780402625,0.743544066333837
24,-36.32692697644234,0.6237221470219714,0.6352123884934081,0.5167782998703248,0.7447564196879893,0.5376404245345511,0.7628444268299851,0.5650456868804145,0.7702235575294333,0.5819872512326268,0.7828548119530632,0.6232570132807019,0.793970256091824,0.6420435641505956,0.5960048298253546,0.7757495814166991,0.637758533304445,0.7624152319003109,0.6511760350752029,0.7507697648596272,0.6510949250791622,0.7612284443504389,0.6685647647998102,0.7774529862624339,0.7585135294750741,0.7548069289943737,0.777160606395928,0.6971346542722743,0.7549480059883398,0.6501901237219959,0.7195891667431238,0.6331586650683776,0.7172106597733954,0.6261305515945677,0.7360419373904458,0.7131463722786959,0.7790858911841032,0.7468015189848154,0.7468011715792497,0.6814901419225714,0.7002158762221394,0.6298927600643016,0.6574434046267719,0.6410676754755473,0.6275456381152572,0.7098921742636194,0.6279016805961543,0.7650751522537633,0.7442441303317716
25,-36.33649438619614,0.6244533717097855,0.6346557746686083,0.517560854620958,0.7443477501899365,0.5383389157718653,0.7645147158645678,0.5664121300525856,0.7700791639173638,0.5824707240211435,0.7846358827137989,0.62460734152405,0.7962482868802054,0.6428783559439272,0.596948460098608,0.7765560347321007,0.6390440883352354,0.7632804532360272,0.6523274670309687,0.7524110686168425,0.6521902037934286,0.7633679622905564,0.669915061179063,0.7787279815843509,0.7607121956737672,0.7554335354718386,0.7773498939171892,0.6965647121813353,0.758038030862756,0.6521265339947677,0.720600623038751,0.6334509366686703,0.7191810226801464,0.6279619780722971,0.7376941313087567,0.7130277819966879,0.7802680412521805,0.74769322374639,0.7456165916628771,0.6838933595438822,0.7010241580893457,0.6304176599281682,0.6578617963873229,0.6413885958677944,0.6276391397460572,0.7111778245398206,0.6307587826835364,0.767298529256617,0.7457977909766274
26,-36.35396000742912,0.6248585744912393,0.6355332443492516,0.5181248561843992,0.745438234489922,0.5382558226399026,0.7673359381138777,0.5676615580684825,0.7719362149939644,0.5834363660382261,0.7863844586249693,0.6279517877704228,0.7994660985245893,0.6447993335027441,0.5979411432783865,0.7786573669401577,0.6410259102228583,0.7661149467721781,0.6546072214492662,0.7552685159016176,0.6544221972758555,0.7674474053994738,0.672595019116924,0.7826176524556336,0.765315927436734,0.75537500210362,0.7810028439731597,0.6974628459028094,0.763310647011284,0.6544358670241612,0.7238748230109637,0.6339003191270968,0.7226516619422162,0.6293535664791758,0.7413418116732367,0.7137511967680487,0.7835306746659455,0.74985049673863,0.7451670033266727,0.6869024268137538,0.7018234986382048,0.6326772211600964,0.6603423076199172,0.6433504275613766,0.6282110528281712,0.7130281444691257,0.635149774762624,0.7706976063350017,0.7490149765096769
27,-36.380986124277115,0.6252134308979189,0.6360444270700422,0.5181716594861706,0.7457473141609574,0.5394178542083996,0.7663155492585992,0.5674770423218313,0.7712061498294002,0.583625330091641,0.7843954915658664,0.6289233543910012,0.7986380838603093,0.6454535145109974,0.5982550580701387,0.7777042487601591,0.6413020372180427,0.7663422539190047,0.6553837838418262,0.755598750140757,0.6556046423101501,0.7669569915190428,0.6727983097018079,0.782641380056718,0.7654920375118716,0.7543081306395891,0.7818765869205484,0.6970514538792641,0.7635527210305006,0.6537791127323278,0.7248736493705309,0.6331337297569988,0.7235998318464152,0.6287124667623145,0.7416628946598378,0.7130323050086149,0.7827798320869719,0.7500802790118354,0.7441266707984975,0.6864787413481392,0.7007417926406758,0.6343338294453225,0.6613252730955238,0.6444071315164076,0.6286178783935376,0.7120278156031059,0.6363383534870954,0.7704873045287062,0.7484272151764088
28,-36.39171689748764,0.6255382341968115,0.6366244589613819,0.5182104462641621,0.746354546135,0.5402340589563548,0.7661479514878012,0.5675507509633202,0.7710825752770022,0.5838443741488135,0.7833264313762236,0.6302165982301756,0.7987145294442078,0.6462904330070466,0.5986889105453718,0.7774073515955782,0.6418347464061953,0.7671137367471358,0.6564034570799484,0.7564628301582961,0.6568807929716481,0.7673741623355983,0.6734880346990811,0.7834591946856453,0.7665580776816726,0.7536492124115808,0.7832294629029566,0.6970490703691496,0.7646879872398127,0.6536960189137845,0.726250533288846,0.6326649016235184,0.725063026960809,0.6282912890952763,0.7426728181971336,0.7126261457790776,0.782936692805469,0.7507215510000985,0.7433954572150782,0.6867360994854843,0.7002077186424037,0.6359821374185808,0.6624577747009371,0.6456002424164676,0.6290617533942673,0.7116704734637032,0.637997512247644,0.7710137947135468,0.7486119597332688
29,-36.401117384433746,0.6258074862671107,0.637105788052857,0.5174945396327713,0.7464064084935628,0.5409968411815508,0.7653909673726953,0.5675592445300155,0.7706944508852673,0.5842699019049794,0.7815758990096388,0.6310604573626304,0.7976659244794393,0.6470878543729937,0.5988287536697458,0.7767991585227088,0.6422272250504277,0.76745063847072,0.6571939387233238,0.7568827220820277,0.6580815303701723,0.7671061895962313,0.6736405655861054,0.783465351151001,0.766589510168967,0.7524052080036661,0.7840259257537353,0.6968072241664857,0.7649967436610474,0.6525592045674831,0.7275223150661689,0.6323483383240015,0.7258963018156315,0.6278652351365211,0.7432019038555753,0.7126943723058708,0.7823984587386155,0.7510481541994839,0.7425850350023349,0.6863421307921447,0.699165936957916,0.6376855785100373,0.6635313370733379,0.6468072773092786,0.6293118980597048,0.7108473995366318,0.6389806788350358,0.7709503062929481,0.7483799605670536
30,-36.40683847665787,0.6257168768065884,0.637031924879265,0.5170061711516868,0.7463766006579373,0.5406708611797921,0.7649507963888909,0.5677536748548564,0.7706787621582435,0.5841039224527486,0.7817838709736806,0.6301484636234421,0.7971056491561582,0.6466388233526305,0.5984958114829035,0.7765568523154602,0.6417015030501938,0.7670918094493702,0.6566520569237947,0.7564938765211623,0.6576439918394537,0.7664445441721163,0.67306389668453,0.7826259389092945,0.7657862924756808,0.7526058917490569,0.7832484378939205,0.697322308501782,0.7636413412142445,0.6522977746657749,0.727049045093336,0.6325395830612529,0.7252464969717319,0.6275489357992176,0.7426683594836768,0.7135841162089215,0.7819001447824387,0.7508474025325096,0.7429647955241634,0.6859450664422473,0.6992455388841845,0.6370418756821584,0.6630035309246988,0.6465177190221212,0.6290288175240695,0.7105960726745995,0.6378806316954627,0.7703060579226289,0.7480115090366398
31,-36.40704134106636,0.6257072996716398,0.6370383794554753,0.5169857105379281,0.7463813629653867,0.5406563834488437,0.7649212407987043,0.5677477469921965,0.7706891938722371,0.5840998730318829,0.781780636947595,0.6301013593161975,0.7970692340025606,0.6466189050326774,0.5984793405735986,0.7765438081831383,0.6416765154650153,0.7670745785507561,0.6566240391442832,0.75647143808837,0.6576190727899405,0.7664106340088265,0.6730336270432753,0.7825894269799293,0.765744798572006,0.7526182341062799,0.7832244625416303,0.6973416775571406,0.763585723388925,0.6522751853835815,0.7270213159437104,0.6325426254452641,0.7252110374558358,0.6275196318441744,0.7426520240063931,0.7136110299118605,0.781879145001711,0.7508368974552408,0.7429931174918885,0.6859198525013783,0.6992438269551438,0.6370195800544135,0.6629871620938834,0.6465044525685927,0.6290212457852892,0.7105787157953493,0.6378202671451,0.7702695921509212,0.7479878008987085
32,-36.41167503595352,0.6258946994401664,0.6373175814605246,0.5164975644943098,0.7463856758527043,0.5409942412835422,0.7641889312912601,0.5680592690756348,0.7705449961827929,0.584419365192801,0.7811036601321284,0.6299286942363194,0.7962049799128637,0.6468186901450921,0.5984450290029416,0.7760182267564485,0.641722400311271,0.7670641751166759,0.6568395056218148,0.7566742601246448,0.6581101206385654,0.7660060349648161,0.6727634220341603,0.7820538190094837,0.7653924172650968,0.7522631452812207,0.783122184576847,0.6973643246810055,0.7633636092663484,0.6516568873675255,0.7273983110584276,0.6323823734777605,0.725500309097076,0.6271751965382154,0.742969668707871,0.714151958338021,0.7813239447980685,0.750972591031406,0.7427054737988592,0.6857598863482832,0.6987515891997087,0.6377123324192123,0.6633864464874086,0.6469816013601485,0.6290173191038555,0.7100269959523692,0.6378626206354139,0.7699716115653652,0.7476968643136327
33,-36.41846427321434,0.626529569168368,0.6374696702626937,0.5158562099306696,0.7463772457011414,0.5416737698910322,0.7633129168032902,0.5691685910788783,0.7704740701716862,0.5854820771929005,0.7808666445874777,0.6298274086437065,0.795445910871292,0.6474074116440387,0.5986646320675546,0.7754455926030334,0.6422881795718678,0.7672754565467194,0.6574579077565788,0.7576259829100833,0.6592722022599432,0.7659733457654413,0.6725163553894762,0.7814041608405078,0.7653371079397577,0.7520648405184314,0.7828532257936938,0.6970426381422244,0.7640098151961532,0.6513927355716223,0.7281299740986714,0.6322728292104715,0.7265715767276937,0.6274044308296701,0.7442483182979183,0.7154442979400731,0.7808081598459063,0.7514994655228657,0.7419584684538973,0.686493583957615,0.6982827602723759,0.6388212325030781,0.6642275303741609,0.6476900988173626,0.6290657931802932,0.7095340789301757,0.6386851405452666,0.770162428037161,0.7476544495704337
34,-36.41927444934845,0.6265098176885814,0.6374265472759881,0.514664496504692,0.7461017220850663,0.5418342399339854,0.7625566417163356,0.5697679304016802,0.7705030003596466,0.5863716172551889,0.7805334454667614,0.629165656650513,0.7939997263192697,0.6476266945551884,0.5984798485490076,0.7749346741412428,0.6426108009058656,0.7669389252880372,0.6574644584447893,0.7581801176558767,0.6597315481515447,0.7654358705641082,0.6719069851207563,0.7801565751570588,0.7644573681627519,0.751639348095576,0.7820922450953517,0.6966450148307978,0.7636309264896235,0.651162972400877,0.7280245375328155,0.6326190186742026,0.7262773841693339,0.6269678631943338,0.7449577302879286,0.7165054849506985,0.7798972709013196,0.7515553793958124,0.7416348078726145,0.6867266716625559,0.6977859204214452,0.6391761353018747,0.6644432263510998,0.6480034947357567,0.6287159495108697,0.7089303001484165,0.6385743975639265,0.7698213907118051,0.7475559404267766
35,-36.4193639755249,0.6265473712923203,0.6374270105882248,0.5144469036744556,0.7460027313963677,0.5418506343044521,0.7624875732370167,0.5699185740997335,0.7705450902590621,0.5865698617233992,0.7805808896784494,0.6290708517693484,0.7938250359691685,0.6476832570168412,0.598469710234458,0.7749038095565688,0.6427125270503309,0.7669116018429222,0.6574787631180767,0.7583155912531399,0.6598142459133455,0.7654254866858927,0.671832058840992,0.7799725238741304,0.7643760009082567,0.7516364370477044,0.7819739174309924,0.6965738291752466,0.763674173719119,0.651183211472431,0.7280188552283086,0.6327526417910463,0.7262669961836932,0.6269864220970498,0.745125896689512,0.7167062840809247,0.7798039399527854,0.751581449058379,0.741568780959104,0.6868643337399408,0.6977352237008487,0.6392163676454823,0.664491983816277,0.6480429377747982,0.6286475932501435,0.7089063579042283,0.638599310561569,0.7698261064948585,0.7476075778867909
36,-36.42606911063194,0.626434995700541,0.637272417577327,0.5125671867999565,0.7447752993116287,0.5415520901851892,0.7624816744496055,0.5705837457925478,0.77118288092677,0.588200231409089,0.7812718703937722,0.628180799782134,0.7924338035571218,0.6479691776715788,0.5982217698187948,0.7751349180272689,0.6436224581852735,0.766395174881412,0.6572022020831353,0.7591786723000575,0.6598596459767336,0.7655098572212317,0.6712446806557248,0.7784787017701371,0.7635471232075537,0.7516463134974205,0.7810036043786006,0.6956153635264258,0.7641098004437638,0.6518346635914294,0.7272920885617093,0.634380896667562,0.725189295135883,0.627156225205569,0.7462391964481396,0.7177442341975857,0.7792253404525741,0.7514585042617464,0.7413628999791373,0.688026348316023,0.6974672251966517,0.638864084832991,0.6645308041794752,0.6478967649286279,0.6278704723925358,0.7090905402116406,0.6384399210765126,0.7698549025632353,0.748362597641583
