iter,energy,gamma[0],beta[0],alpha[0],gamma[1],beta[1],alpha[1],gamma[2],beta[2],alpha[2],gamma[3],beta[3],alpha[3],gamma[4],beta[4],alpha[4],gamma[5],beta[5],alpha[5],gamma[6],beta[6],alpha[6],gamma[7],beta[7],alpha[7]
1,-14.664872661232948,0.5981146741543858,0.5973504945231857,0.5973504945231857,0.6235991723643372,0.5973504945231857,0.6911231770020675,0.5973504945231857,0.5973504945231857,0.658898774724438,0.6049605259280856,0.5973504945231857,0.6018527265514536,0.5973504945231857,0.5973504945231857,0.6621424044934052,0.608258487853987,0.642373649192924,0.6618164115518005,0.6699309191899121,0.5973504945231857,0.5973504945231857,0.5973504945231857,0.5973504945231857,0.6787218621818535
2,-16.14053365588188,0.597543497292561,0.5921151388470564,0.5951895497450196,0.6345003226673542,0.5947507544347964,0.718171417164339,0.598425404649461,0.5985453735528999,0.6749643636264462,0.6085404597259445,0.5964478368346557,0.599250109642919,0.5957951304224232,0.5998126690733528,0.6797023346582997,0.6116667625978203,0.6588776377635812,0.6788084739443702,0.6876250497092194,0.596496232933457,0.5969244161417584,0.5921652897017599,0.5953719144330865,0.7034413099522857
3,-20.441159933805466,0.5968100267680986,0.581693829336107,0.5937179928569497,0.6461729585388727,0.5836515496150501,0.7319161923739307,0.6087720604759396,0.6048454136099988,0.6760383632328651,0.6091583483729149,0.5948605438026577,0.5982231011360837,0.5934902782179836,0.6046233950932917,0.6879105776150417,0.6155107993455318,0.679699188456663,0.6856765067275332,0.6812239298155464,0.5951903551372151,0.5992891220872576,0.5811552230144423,0.5905606069372548,0.7161822621462938
4,-26.305591106414795,0.5973595514429556,0.5603049700005245,0.59070938447097,0.6590269926724156,0.5615322712599866,0.7261472021530733,0.6287924784287678,0.6119972091068205,0.6570685328598092,0.6083638598204464,0.5908338089004553,0.5984979330486642,0.5859815408800693,0.6102313852944203,0.6776257819212317,0.61828382886648,0.7035713070766652,0.6755637288435513,0.6424410030710002,0.5929133860427228,0.598772744160914,0.5590789986890385,0.578619648990787,0.7130330920296027
5,-26.9609494805336,0.597748308862847,0.5512683542119452,0.5830365375456836,0.6559865068375024,0.5549389331080189,0.7192136225287311,0.6349196202633561,0.6144234773869225,0.6445815945815795,0.6205039119019379,0.6001353171240741,0.6021530005103066,0.5760568021598654,0.6052786423224774,0.6709420967733503,0.6179270267279156,0.7107701788715625,0.6589343551122006,0.6251636909098668,0.6021587345674162,0.6002196910442481,0.5543643298306267,0.571572050954494,0.7031244490091716
6,-27.0430925488472,0.5977598421686563,0.5526656491249403,0.5857157071076522,0.6551921081747065,0.5582689976819691,0.7338261044718813,0.6380335083333641,0.6169760182880996,0.658356704903768,0.6255452019319765,0.6035736896884406,0.6100755300625699,0.5742543526468744,0.6011707929664715,0.6855142394306455,0.6190667660448655,0.7178401410631405,0.6679715412575905,0.6331037813653293,0.6034644602248083,0.6009644000311403,0.5548123142395194,0.5707176658580903,0.7132352959704201
7,-27.451478511095047,0.5980042147988793,0.5544584367088538,0.5902582952405312,0.650896620332541,0.5644881572073172,0.718735221758217,0.6359723498525954,0.6146012263650643,0.660312579381906,0.6267010851544682,0.5992006904775258,0.6131050133912804,0.5782691563467953,0.6000048303395322,0.6819424861291254,0.6166676801433395,0.7066803274275458,0.6647688010781274,0.6302934138904106,0.6006853688907536,0.6012329239547645,0.5599227809577157,0.5740776645596228,0.7051093711293651
8,-27.61730334162712,0.5976602173324318,0.5516736389357072,0.5895284447263792,0.6488850237580249,0.5626766099677286,0.7165311045165286,0.6400838282711085,0.6151994745888515,0.6574459650553567,0.6303966149636295,0.6000216401601112,0.614099931709378,0.5765937977872622,0.5986748992973381,0.6817988021340541,0.6158029049684188,0.7076711861345686,0.6615446836566214,0.6264789880221102,0.6033318296022303,0.6011586788306342,0.557922008774887,0.5709991450383662,0.703501780982137
9,-27.66026371717453,0.5967143511492778,0.5477203952840993,0.5900045963354562,0.6469368333425044,0.5608556156292932,0.7164175850467879,0.6473501942972583,0.617364211533255,0.6596505549426266,0.6358111161203084,0.601325761154282,0.6193484697876035,0.5738345499439443,0.5959542784624404,0.6850944698686051,0.6127712344357282,0.7117002528637119,0.659234441832645,0.6233957550656161,0.6061098072689246,0.6028341988274739,0.555274924918857,0.5694177306445112,0.7060104955904222
10,-27.713180899620056,0.5961256341162511,0.5482683889187586,0.5911443345091535,0.6448283911986701,0.5629042952016061,0.7147874739201445,0.6480175874154904,0.6171263689104809,0.6604145916079105,0.6366954974624702,0.6004217086606557,0.621437234750947,0.5747598595461805,0.5952520223338346,0.6863084481773339,0.6116147279749827,0.7093515538061942,0.65801069237935,0.6238161309037452,0.6054257572503957,0.6035701313934766,0.5560130775447156,0.5701895866314215,0.704630223727539
11,-27.71345090866089,0.594191661129109,0.5482747072621101,0.5934638967011097,0.6400788428155898,0.5655968855121755,0.7127644091174701,0.6508519322288783,0.6172008507851509,0.6629827684838184,0.6401767681902989,0.5996393139815175,0.6259469769775087,0.5762723852178848,0.5943883588527779,0.6894690778960841,0.6078720360318258,0.7070149823589982,0.656842770640422,0.624047610145478,0.6049438532118553,0.6053871436523426,0.5569366388560286,0.5710623848345772,0.7031082815196473
12,-27.730911076068878,0.593811676600735,0.5482637920902654,0.5924684505044439,0.6416139044823053,0.5643641187525023,0.713883379018471,0.6505108043496453,0.6170244590223297,0.6617739603075619,0.6382252568391252,0.5993846952608909,0.6242247975111866,0.5759997447749587,0.5955469217899398,0.6876948773224162,0.6086222763548341,0.7082943700858638,0.6573532713405668,0.6243433602838256,0.6050777123208547,0.6051420583667539,0.5568596920903622,0.5712593708602456,0.7044394095189374
13,-27.73203733563423,0.5941088178168614,0.5484229074633311,0.5922223946060854,0.6420947834662571,0.5641967193822383,0.7145091456109621,0.6501464798651185,0.6170121161743763,0.6614401508771984,0.6375558769562538,0.5996125780768647,0.623448745087594,0.5759592624771495,0.595761032002275,0.6872999469717544,0.6091786310917865,0.7085413769322261,0.6578649009842681,0.6247165624607497,0.6052105547789322,0.6049081310714969,0.556932590677264,0.5712677246342239,0.7047944297232875
14,-27.732133209705353,0.5941789445535175,0.5484934198117328,0.5921444077215169,0.6422786411905915,0.5641315164417577,0.7147628426622298,0.6500156645145866,0.6170030500561565,0.6613408435398522,0.6372769255673116,0.5996558106201318,0.6231712301958419,0.5759707297628978,0.5958747187106048,0.6871630742506945,0.6093591622452719,0.708639642136295,0.6580785435203556,0.6248767382885358,0.6052209335523633,0.604832824105666,0.556957866503158,0.5712945010385899,0.7049574441856
15,-27.732315599918365,0.5943517261456005,0.5483715767557843,0.5921174320500456,0.6425058052382382,0.5639061501724938,0.7151207757845232,0.65038636455113,0.6171723121019149,0.6615965114750191,0.6371198121356902,0.5998152676561695,0.6231826712132381,0.5757637648555691,0.5958248349010649,0.6872056108030823,0.609452253758664,0.7091192929923812,0.6584450883990599,0.6249856656710215,0.6054247686687152,0.6048534309130916,0.5569086640024822,0.5713577396713817,0.7056381288934924
16,-27.732359677553177,0.5944185168531727,0.5483509010764009,0.5921348591212091,0.6425496372689569,0.5638730765003963,0.7151994213561544,0.6504905404426266,0.6172241822156059,0.6616323186732882,0.636998797116131,0.5998808465406201,0.6231561390378562,0.5757492414890053,0.5958267292035998,0.687178119401642,0.6094642917150125,0.7092254294594829,0.658553986516427,0.6250511769177614,0.6054673930094268,0.6048794105924116,0.5569097796402904,0.5714314793973826,0.7058426934494345
17,-27.73314067721367,0.5945739347157991,0.5484153764180314,0.5923186302455735,0.6424996069772282,0.5640236510052545,0.7151128696833745,0.6504567810952632,0.6172609163233448,0.661860150353491,0.6368661893034497,0.599907927508335,0.6232697254867452,0.5758635408879845,0.5957476096694041,0.6872575008021644,0.6093954274047432,0.709089092984897,0.6586789311427954,0.6251837868210466,0.6053389118072294,0.6049536873846907,0.5569823125394169,0.5716410973898357,0.7058985024916318
18,-27.73400977253914,0.5945756287160694,0.5483961611409334,0.5924044286496307,0.6423079635441251,0.5641456528037215,0.7147193773814409,0.6504808082192152,0.6172159764340084,0.6617562795180063,0.6367652953306654,0.5998412562512865,0.6233741718842675,0.5759606522184135,0.5956442323443718,0.6870729116755477,0.6093466182773709,0.7088700689182326,0.6586053234499615,0.6250303257611196,0.6052847735888827,0.6049726023168318,0.5570249054189436,0.5718151475222576,0.7056886520833119
19,-27.7341246008873,0.5945906315502973,0.5483881073923055,0.5924584058028937,0.6422412929007059,0.5641971083071088,0.7146173572848386,0.6505180003973562,0.6172196116997608,0.6617651023267298,0.6367323550574052,0.599824811632333,0.6234350684959724,0.5759986167943313,0.5956057900346083,0.6870473130721106,0.6093200479390563,0.7088136836879171,0.6586167797132018,0.6250095487885143,0.605269665936604,0.6049841245781377,0.5570403969798781,0.5718846095425145,0.7056591805668165
20,-27.734361052513123,0.5946970086398331,0.548299277242319,0.5925023347378491,0.6422947707277774,0.5641364744386252,0.7145976126894575,0.6506767705137025,0.6172918065579669,0.6618434422357257,0.6366368608012254,0.5998905575342152,0.6235102796104875,0.5759615458659401,0.5955360953547184,0.6870129945257776,0.6093289854500014,0.7089460678472564,0.6587391566177572,0.6249672852816317,0.6053191605931677,0.6050032004828151,0.5569862333441703,0.5719677558253844,0.7058348365335633
21,-27.734656006097794,0.5947749392921182,0.5482010900484849,0.5925409001726242,0.6423252501125846,0.5640694076948205,0.7146327570037105,0.6508794839272319,0.6173724391969202,0.6619398173207504,0.6365922238114495,0.5999675387060235,0.6235992077833351,0.5759107649182511,0.5954710129497416,0.6870159618220647,0.6093210031067665,0.7091082104185003,0.6588608111113962,0.62494371759972,0.6053978604663798,0.6050281612729191,0.556933875622137,0.5720226309578401,0.7060368095082076
22,-27.73466682434082,0.5947749395313664,0.548201089893006,0.5925409001534792,0.6423252502553672,0.5640694075274892,0.7146327570113917,0.6508794841213065,0.6173724393222628,0.661939817250699,0.636592223516627,0.5999675388580391,0.6235992077366951,0.575910764823883,0.5954710128483682,0.6870159615448919,0.6093210032185233,0.7091082106263696,0.658860811271539,0.6249437175778524,0.6053978606065284,0.6050281612191196,0.5569338755811349,0.5720226311067453,0.7060368097713581
23,-27.73466682434082,0.5947749395314992,0.5482010898928238,0.5925409001534773,0.6423252502553302,0.5640694075273858,0.7146327570112057,0.6508794841215633,0.6173724393223599,0.6619398172505193,0.6365922235164322,0.5999675388581337,0.6235992077367343,0.5759107648238261,0.5954710128482431,0.6870159615445685,0.6093210032185383,0.7091082106264524,0.6588608112715226,0.6249437175777369,0.6053978606066756,0.6050281612190845,0.5569338755811153,0.5720226311068993,0.7060368097714432
