iter,energy,gamma[0],beta[0],phi[0],gamma[1],beta[1],phi[1],gamma[2],beta[2],phi[2],gamma[3],beta[3],phi[3],gamma[4],beta[4],phi[4],gamma[5],beta[5],phi[5],gamma[6],beta[6],phi[6],gamma[7],beta[7],phi[7],gamma[8],beta[8],phi[8],gamma[9],beta[9],phi[9],gamma[10],beta[10],phi[10],gamma[11],beta[11],phi[11],gamma[12],beta[12],phi[12],gamma[13],beta[13],phi[13],gamma[14],beta[14],phi[14],gamma[15],beta[15],phi[15]
1,-19.761294662952423,0.5940063652763595,0.579702822260702,0.579702822260702,0.6135314518261986,0.579702822260702,0.6135314518261986,0.579702822260702,0.579702822260702,0.6135314518261986,0.579702822260702,0.579702822260702,0.6135314518261986,0.579702822260702,0.579702822260702,0.6135314518261986,0.6135314518261986,0.6135314518261986,0.6135314518261986,0.579702822260702,0.579702822260702,0.579702822260702,0.579702822260702,0.579702822260702,0.579702822260702,0.579702822260702,0.579702822260702,0.585557005214561,0.579702822260702,0.579702822260702,0.579702822260702,0.579702822260702,0.579702822260702,0.6135314518261986,0.579702822260702,0.579702822260702,0.6135314518261986,0.579702822260702,0.579702822260702,0.6135314518261986,0.6135314518261986,0.579702822260702,0.6135314518261986,0.579702822260702,0.579702822260702,0.6135314518261986,0.579702822260702,0.579702822260702,0.6135314518261986
2,-25.68737703561783,0.5953531649817232,0.5772137917609482,0.5786945369475229,0.6102069602531697,0.5856249755759394,0.6232555172803527,0.5866834077400959,0.5809849082272619,0.6062674613089203,0.5816815570903006,0.5907959472539686,0.6130423795419321,0.5886552520226673,0.5837401710259963,0.607636955393623,0.6163129430224814,0.6181806819793262,0.6145824703952242,0.5921095116902263,0.586174460419148,0.5772810308357053,0.5874347774578158,0.5870894638333879,0.5929802114215363,0.5922956172140197,0.5833098303231123,0.5885767007482274,0.5809637526202783,0.5805528187870547,0.5923768871095768,0.5870484810459291,0.5888814405384879,0.6184140237894278,0.5847849138874791,0.5878157060650198,0.6187424110436625,0.5830103529095022,0.5812092129498382,0.6093658930597756,0.6124802035938645,0.5866527626346306,0.6102743568819509,0.5863567511808898,0.5854833667382592,0.6132756620142448,0.5808401032805537,0.5789241853057812,0.6119678314289599
3,-26.935849457979202,0.5967557428512595,0.5736987413151308,0.5737762103227809,0.6109014691722565,0.588673392267745,0.6266822970125643,0.5925157356657464,0.5825656972471344,0.6009386105772607,0.5816615138326349,0.5969810196603306,0.60742122412783,0.5998028233217162,0.589331721784282,0.6019645613850308,0.6229081782874466,0.6151935761344077,0.611523664047636,0.602997208769932,0.587100428257189,0.5721359793033803,0.5932953827197426,0.5847072706574866,0.6035305387615015,0.6031639504128452,0.5887895223579999,0.594205120191154,0.5794145588519612,0.5779107513286665,0.6018739715367725,0.5944359959873733,0.5995936931466669,0.6251053684428863,0.5853814406648038,0.5921183179400423,0.619406956529532,0.5889169452891636,0.5831734277101722,0.6052244824872309,0.610681674737266,0.5844736539568198,0.6052143431650984,0.5941994528597607,0.5868918366405265,0.6154701615186551,0.5792832011709089,0.572899727914031,0.6114333911704953
4,-27.52334415912628,0.5957736595734013,0.5698615616470295,0.5704155733060258,0.6121610874030089,0.5877716208712336,0.6277807583174951,0.5897695715370591,0.5794916584355495,0.6014641534375,0.5815667203331516,0.5951128469136027,0.6078491466824872,0.5973779767094444,0.5852428046864323,0.604015293060701,0.6244964833324975,0.6165443019033442,0.6125235500657817,0.6007444923724304,0.5839548168304475,0.5697269492006702,0.5927936244301663,0.5832548172822186,0.6016684780616652,0.5988653802498215,0.5871803004117585,0.5937473626226518,0.5777199947919348,0.5776497985412442,0.5981673059060811,0.5908074520972284,0.5985670697103932,0.6253800954469297,0.5836100652342422,0.5899749029689705,0.6183974968030043,0.586679174375824,0.5797991348523992,0.6062609964857484,0.613716311682702,0.5815425850717515,0.6040637354784205,0.5923809032667834,0.5832504955361685,0.6172844991910154,0.5809496309617931,0.5693219112795038,0.6129956381171533
5,-27.639022439718246,0.5954395447283856,0.570137976539645,0.5714231063388263,0.6110765149587628,0.5873791874949827,0.627493327013427,0.5896604482526467,0.5795968390036255,0.6027666764115666,0.5818857439818108,0.5942428491430493,0.6080469067466954,0.5968986981306195,0.5854236107571423,0.6056355768213607,0.6235647491597621,0.61550441704933,0.6110625101450462,0.6005749939424412,0.5855811989660746,0.5695830882375635,0.5929129476449303,0.5834901763059201,0.6007197210472232,0.5984753918939837,0.5896437546550302,0.5942532138123051,0.5782369471724323,0.5784574846451063,0.5964980824163435,0.5908300214357862,0.5994348344403696,0.6244593272641488,0.5840399354376051,0.5888795959155847,0.6169712881026892,0.588278369233066,0.5801928680829129,0.6072431069751427,0.6137424626891875,0.5802751369146808,0.603724920876415,0.5929353877088547,0.5834827258005316,0.6182436960358867,0.5813681398690465,0.5690454650274721,0.6123355449810861
6,-27.69019916653633,0.5957285466155745,0.5693195580438147,0.5704870277259482,0.6105091722526985,0.5871314310911474,0.628471556762476,0.5896348034762294,0.5792297710786436,0.6033044449887045,0.5818600190286038,0.5939166970843933,0.6082835399679853,0.5974464238365285,0.5852518387156103,0.6068362952089598,0.6241773300174099,0.6156079887958025,0.611176166500344,0.6013892075011813,0.5864384097371776,0.5686314879359253,0.5937113215359108,0.5835378885451007,0.6017788878091626,0.5989200567106119,0.5910173198483724,0.5949587026571372,0.5777646888850008,0.5783036787215101,0.5965543534251857,0.590378472549653,0.6008653826100419,0.6253853398581729,0.5842564044859453,0.5892957772530051,0.6173336514400274,0.5890769044302702,0.5801788065294143,0.6077711541771996,0.6135945460883998,0.5796369677591912,0.6031741949758656,0.5937282623676392,0.5835354549565627,0.6195013822853119,0.5811911610544157,0.5679273928533483,0.6117500459827465
7,-27.702843844890594,0.5960967696383511,0.5688823669002481,0.568788268843283,0.6099371711722642,0.5872648059575789,0.6305930626633909,0.5902033418842373,0.5779392724429738,0.6047893248031778,0.581924897785819,0.5929086984347848,0.6091115885051092,0.5993028925870197,0.5852361669866407,0.6093491435951242,0.6252906676710541,0.6158647904012378,0.6113933583290371,0.6020778674088052,0.5874580214902195,0.5662947901687803,0.5943437708494431,0.5839975486823472,0.6037546250565,0.5995589028281535,0.5937065200809243,0.5961121639334565,0.5775085533673339,0.5787079611126202,0.5975588354997637,0.5886379366306369,0.6031960982276321,0.627016038134869,0.5844527254051498,0.5904613682465436,0.6172027259590134,0.5903401228591947,0.5794465643847074,0.608358967520063,0.6140532643075751,0.5783118816516416,0.6023557615946069,0.5951357113002763,0.5831053590726969,0.621715526659454,0.5822426109007538,0.5664714599484186,0.6107883643396901
8,-27.72867652773857,0.5958964938521532,0.5691518350757568,0.5697817860699355,0.6099304695724272,0.5873958105067402,0.6304405771553079,0.5901217970793388,0.5784804035058715,0.6048954608453133,0.5822096169123582,0.592783474354104,0.6086261451971793,0.5990753761496228,0.5857754570600516,0.6097610705758625,0.6247209239540384,0.6160549644567416,0.610958120723723,0.6015005173066934,0.5866243812853158,0.5663946275882679,0.5946078314857557,0.5836534806476098,0.6029367195458685,0.599352858092206,0.5927561002705187,0.5959458203946656,0.5781467081650293,0.5783216266358092,0.5974062148350052,0.5883280349536258,0.6024334278045562,0.6265691443735956,0.5848185932465148,0.5904795363217078,0.6177385695400693,0.5897553882737727,0.5789913131894352,0.6082210845975532,0.6136384464357412,0.5789883863835272,0.6027775824483382,0.5950055889778236,0.5829299437682761,0.6209834786747754,0.5821433842012737,0.5670276525156249,0.6110375140220253
9,-27.73139524459839,0.5954896517750323,0.5695494786434381,0.5702972477050325,0.6095852616121693,0.587568757741821,0.62994586921881,0.5902115960003783,0.5786538905518851,0.6056425458033156,0.5829477929412995,0.5919156968150409,0.6086416186413941,0.5990238046503302,0.586493893839557,0.6111400326771413,0.6242218019495708,0.6163010971142119,0.6106222093631658,0.6007349599385957,0.5860123464699398,0.566077814993796,0.594820976858999,0.5834301832602926,0.602270781212196,0.5985317345399165,0.5920134570604,0.5957903445864167,0.5795541520734698,0.5781555625445849,0.5972671874549402,0.5870731630638957,0.6016842557823727,0.6258555271342416,0.5856091388694833,0.590711818810836,0.6183805936666943,0.5891926875139045,0.5782689905570089,0.6085026094600829,0.6130715086605599,0.5796728476790386,0.6037054023499935,0.5953248360691775,0.5824499509351666,0.620660344501145,0.5818934618882206,0.5672843190161235,0.6113547335228088
10,-27.73400068283081,0.59589253667759,0.5693728981240167,0.5705425071000372,0.6096135599630643,0.5876572622640758,0.6298508421266039,0.5906802301388271,0.578756040079132,0.6057001096576716,0.5829817779253372,0.591895107502764,0.6085103524372727,0.599486941242305,0.5865894450724569,0.6112607007047558,0.6244087070919595,0.6161927670165668,0.6104792287873674,0.6009230378875335,0.5863775503327746,0.5661347396037509,0.595118390470314,0.5837060224600722,0.6027649023046633,0.5985242705071062,0.5925556077410002,0.5962580201195158,0.5798540966188417,0.5784689359593151,0.5971081140514063,0.587113117491133,0.6021043647548752,0.6258692591772878,0.5859276220883213,0.5909333480921268,0.6179235922700461,0.5895701472751609,0.5780264488697106,0.6085584044444171,0.6129115827599015,0.579446983174409,0.6035950915571862,0.5958177348880073,0.5822647052264935,0.6207279433293463,0.581899850515947,0.5673875085806722,0.6108844225305672
11,-27.735385179519653,0.5961500312324276,0.5689613131040633,0.5704474685436315,0.6099050144656589,0.5876082647175557,0.6300809497398663,0.5912366693836331,0.5786582847692914,0.6054892177965226,0.5828093032661239,0.5921318521562043,0.608620470568736,0.6001190376835439,0.5865771233346889,0.610933121924512,0.6248735135794538,0.6162997426973287,0.6107106420386192,0.6014043440661916,0.5866409227973713,0.5660603879713049,0.5952604250731401,0.5837535604393914,0.6036055499710984,0.5989878033261852,0.5930287056673039,0.5966714892144619,0.5795651704156375,0.5783923843735961,0.5973408046487266,0.5874710679287158,0.6026382786579549,0.6263210838799278,0.5858356389245267,0.5911327064214645,0.617869968708268,0.5897976985262392,0.5778735165119655,0.608275715719942,0.6129788583710809,0.5791711873001453,0.6035199215395134,0.5961258433616441,0.5822161281421159,0.6208811334816413,0.58164810619584,0.5670853163772288,0.6103826135152103
12,-27.73543119430542,0.5962141581760861,0.5688948950962716,0.5704444948548567,0.609891370407172,0.5875779585878008,0.6300961771051792,0.5912556461929656,0.5786690952286638,0.6054775336064907,0.5827620507293618,0.5921575911544718,0.6086241063098986,0.6001307119911148,0.5864965128405134,0.6108922618588954,0.6248843398286803,0.616322628593394,0.6107430247404928,0.6014170871052642,0.5866738543386788,0.5661273132306643,0.595182065087739,0.5837796350727237,0.6036273280989976,0.5990240285629905,0.5930350066460873,0.5966444210830424,0.5794782461086175,0.5783855693987574,0.5973668065118855,0.5875181953646176,0.6026123536929546,0.6263787894629174,0.5857683830931217,0.5911364637247236,0.6178395064551134,0.5898156318187502,0.5778884164916626,0.6082368381065419,0.6130248070730674,0.5791654868698648,0.6034580510975575,0.5960909579566456,0.5822455294513003,0.6208875379388124,0.5816577503059426,0.5670334713535851,0.6103314106118638
13,-27.735949456691742,0.596237437322961,0.5687745993539122,0.5703917399120256,0.6098355381024294,0.5875066530144749,0.6301175780009621,0.5911771198714465,0.5786389319625038,0.6055212745463009,0.5827303377977566,0.5921210310319801,0.6086377908370768,0.6000369982618098,0.5863503328303751,0.610955652701742,0.6248643551038541,0.6163600990254459,0.6107581361762635,0.6013752179173588,0.5866749129162105,0.5661535769193621,0.5950841238393607,0.5837687602226592,0.603544900380925,0.5989827300320527,0.5930263439288925,0.5965741964296358,0.5793536327405101,0.5783510495842531,0.5973035407176388,0.5874905980099582,0.602548672882816,0.6264195368054362,0.5856689570420954,0.5910736953680209,0.6178301413641643,0.5898175027045928,0.577886932322278,0.6082513839304298,0.6131051731546711,0.579114244407754,0.603375290089495,0.5960078239780523,0.582247961402436,0.6209407044678361,0.5816761892811163,0.5668951814190486,0.6103388215353481
14,-27.73628258705139,0.5962035399743568,0.5687257403926859,0.5703867533487847,0.6097045927284952,0.5874223200463088,0.6300763956277299,0.5910082315746678,0.5786477489835153,0.6056176232318834,0.5827409320618683,0.5920275694730373,0.6086551129415653,0.5998357430185096,0.5862277703285089,0.611095981523801,0.6247397357668493,0.6164090550901021,0.6107432507709339,0.6012469250268784,0.586621398285103,0.5662182449328335,0.5949334170163694,0.5837310854576677,0.6033033019211692,0.5988744659962667,0.5928858716268676,0.5964045493821029,0.5792948532972502,0.5782925424988599,0.5972258534362898,0.587396652152963,0.6023385814048947,0.6263852559800573,0.5855848688919357,0.5909866423408188,0.6178993123957778,0.5897447715611359,0.5779124586109472,0.6082933252100026,0.6131570718277188,0.5791680072961933,0.6033445498780854,0.5958576997191689,0.5822786961959534,0.6209434833369925,0.5816886084475054,0.5667943527742534,0.6104295388678534
15,-27.73638704419136,0.5961854877409181,0.5687179827426257,0.570387458360022,0.609674596482684,0.5873963386457097,0.6300603767183606,0.5909508647025653,0.5786527687904238,0.605627723278811,0.582737606770323,0.5920166615599146,0.6086578215967559,0.5997625086561683,0.5861894903679263,0.6111065091736524,0.6246998765422985,0.616414131421093,0.610738499424681,0.6012142575660194,0.5866053860315512,0.5662473941865472,0.5948883471660522,0.5837162471751514,0.6032225575913495,0.5988494863235622,0.5928408487056837,0.596350180075557,0.5792651525674236,0.5782728798706053,0.5971976341771219,0.5873942729081905,0.6022774456672895,0.626368771886354,0.5855514925867253,0.5909461297716372,0.6179145559621323,0.5897228261526898,0.5779376781169079,0.6083032580921891,0.6131754774441766,0.579180199727861,0.6033330769444915,0.595802487536002,0.5822973262885214,0.6209377007190908,0.5816888940341512,0.5667731630722644,0.6104645774755961
16,-27.736732959747314,0.5961450789492397,0.5687960967209098,0.5704719677163183,0.6096813526323196,0.5874225922052787,0.630053610516542,0.5909377379327339,0.5786967417656342,0.6056346464163692,0.5827651857448614,0.5920293955087836,0.6086078215074741,0.5997426767922639,0.5862640163450091,0.6111303314701235,0.6246346498893682,0.6163947677283249,0.6107011539458225,0.6011698423819923,0.5865411226077888,0.5662311700488628,0.5949320371736896,0.5836863949829499,0.6031390498276136,0.5988509610631627,0.5927864706356595,0.5963382609197286,0.5793301208058889,0.578242071325794,0.597205776253631,0.5873878721321814,0.6022395088285479,0.6263110886198131,0.5855917265922687,0.5909465041964517,0.6179622311908995,0.5896901592865862,0.5779322494518524,0.6083032046889052,0.6131337362396738,0.5792268922186719,0.6033707747055893,0.5957905896436021,0.5823024995502669,0.6208800272406437,0.5817000298354053,0.5668618484930247,0.6105050071827628
17,-27.736832290887833,0.5961000496033387,0.5689749448062205,0.570738376400856,0.6097028615814651,0.5874905894937288,0.6298704562043002,0.5910218779972183,0.5788256944136942,0.605628715320209,0.5828759279854483,0.592037540621723,0.6084853778106348,0.5997214621704173,0.5864618282886935,0.6111343506855973,0.6244689174765554,0.6163544344301017,0.6106097226887777,0.6010621936367754,0.5864490939836746,0.5663089435819141,0.5950017744011386,0.5836450055492365,0.6029707814840843,0.5987784259157712,0.5926277641617799,0.5963060531955091,0.57958878634227,0.5781784747958755,0.5972097358429211,0.5873750151413307,0.602080241561313,0.6260938566271755,0.5857451386896254,0.5909629469425324,0.6180450997509526,0.5896289285708768,0.5778868263840834,0.6082935927240608,0.6129698316615918,0.5793878339047541,0.6035274894113306,0.5958251738181024,0.5822922052637186,0.6206727285803605,0.581613752415577,0.5671018584438984,0.6105872751075111
18,-27.73687881231308,0.5961000363959551,0.5689749409629519,0.5707384044069944,0.609702854414206,0.5874905872997049,0.629870412179956,0.5910218637724381,0.5788257033756757,0.6056287294376109,0.5828759164711547,0.5920375439603227,0.6084853823182071,0.5997214612136221,0.5864618248215463,0.6111343449014963,0.6244689036850936,0.6163544371821466,0.6106097355005318,0.601062149453574,0.5864490644766212,0.5663089706383242,0.5950017366030034,0.5836449794634638,0.6029707266984954,0.5987784023365599,0.592627714234213,0.5963060409630759,0.5795888035824421,0.5781784259870283,0.597209722236098,0.5873750097544334,0.6020801929078942,0.6260938343440645,0.5857451279182961,0.5909629317484782,0.6180451259311573,0.5896289171182998,0.5778868115360388,0.608293554950584,0.6129698245598905,0.5793878312344167,0.6035275284283556,0.5958251369250587,0.582292204874086,0.620672702556213,0.5816137179831414,0.5671018580013263,0.6105873002776399
19,-27.73694097995758,0.5960962817214861,0.5688810875765741,0.5706322380900745,0.6097208912293745,0.5874633267425526,0.6299129870770604,0.5910129046669778,0.5787581242927656,0.6056266572707157,0.5828223244554986,0.5920451807276368,0.6085590006536837,0.5997730779191132,0.5863984259719182,0.6111056043792834,0.6245643452039867,0.616383127288332,0.6106787353030794,0.6010996325683864,0.5864641080290105,0.5662723050593876,0.5949644770173247,0.583624091743995,0.6030512764010932,0.5988072391953566,0.5926699916002114,0.596341883020097,0.579497079637277,0.5781428341750803,0.597211142320901,0.5873841852018106,0.6021434315124581,0.6261814351626762,0.5856783782691172,0.5909525351695272,0.6180550606902679,0.589646727820253,0.5778726582569615,0.6082469830992738,0.6130245336206015,0.5793005390807887,0.6035252350265683,0.5958074424341779,0.5822803478757826,0.6207444473018279,0.5815785738053912,0.5669809686630056,0.6105640151254088
20,-27.737004578113556,0.5960960776231464,0.5688811318077645,0.5706321183634577,0.6097208744855331,0.5874633498267069,0.6299130548586513,0.5910128260477148,0.5787580543986156,0.6056267049682422,0.5828222679602691,0.5920451584265785,0.6085590231077176,0.5997730260369492,0.5863983855916269,0.6111056655070656,0.6245643138741112,0.6163831533544084,0.61067873653233,0.6010995959962585,0.586463955836857,0.566272155882724,0.594964471714937,0.5836239613711843,0.6030511609562477,0.5988071946321945,0.5926699128367834,0.596341857483653,0.5794970346080583,0.578142614396248,0.597211134877579,0.5873840785442649,0.6021433753952115,0.6261814810715154,0.5856783127684773,0.5909524751982238,0.6180553353301361,0.5896466438546124,0.5778726350146092,0.6082469401425509,0.6130245838281091,0.5793005457546158,0.6035253465540569,0.5958073354431499,0.5822803420098915,0.620744490195193,0.5815785124107381,0.5669808525657892,0.6105641733785035
21,-27.73700702190399,0.5960960646175602,0.5688811539693025,0.5706321366735004,0.6097208780466377,0.5874633600299575,0.6299130440515569,0.5910128315024418,0.5787580631113217,0.6056267035983611,0.5828222757429486,0.5920451603752127,0.6085590095401995,0.5997730217876536,0.5863984035958538,0.6111056660705655,0.6245642980372795,0.6163831467597686,0.6106787246823169,0.6010995881131277,0.5864639428908289,0.5662721535158461,0.5949644845978466,0.5836239545295324,0.6030511437421326,0.5988071870765956,0.5926699012192853,0.5963418571743385,0.5794970570413338,0.5781426041452856,0.597211133500906,0.5873840750252138,0.6021433652839671,0.6261814623806368,0.585678326801455,0.5909524741812241,0.6180553498089884,0.5896466376217522,0.5778726319169193,0.6082469412298198,0.6130245706294118,0.5793005587025017,0.6035253624949869,0.5958073378024926,0.5822803403757321,0.6207444743982304,0.5815785064663174,0.5669808742597118,0.6105641872423216
22,-27.737028509378433,0.5960879744486424,0.5688816729208089,0.5706353896432397,0.6097358528511995,0.587467947813533,0.6299033345125341,0.591029851113004,0.5787552231259697,0.6056139890713045,0.5828214567807133,0.5920547929254557,0.6085535326699555,0.5997782879903807,0.5864031133145696,0.6110862784295217,0.6245669621899617,0.6163794973754475,0.6106780701959861,0.6011061416435833,0.5864611221942182,0.5662709560935211,0.5949739416397445,0.5836158998669464,0.603056047120875,0.598805970447629,0.5926724490220562,0.5963504268028252,0.5794998699829752,0.5781270597725888,0.5972073853638237,0.5873941997390358,0.6021482012491737,0.626175215756389,0.5856806046889912,0.5909465042462819,0.6180635597413172,0.5896488890014079,0.5778676488041641,0.6082401994669278,0.6130200253399034,0.5792948707494214,0.6035375087128583,0.595813058101768,0.5822755386020966,0.6207375938163756,0.5815589048940244,0.5669817733181035,0.6105696384084494
23,-27.737035274505615,0.5960803622611002,0.5688823667306784,0.570637280979375,0.609749913680101,0.5874726069724252,0.6298944736818124,0.5910452706031956,0.5787519931295451,0.6056023500740563,0.5828195045154149,0.5920641702875032,0.6085507822692859,0.5997858543893804,0.5864083553713992,0.6110670323745225,0.6245718773373091,0.6163762877987972,0.6106794708770407,0.6011125203855312,0.5864587786349568,0.5662697737525553,0.5949817482306629,0.5836083792146086,0.6030626849693644,0.5988061383712309,0.592674662238985,0.5963596063150323,0.5795028337610629,0.5781129462109065,0.5972055100511179,0.5874041012533225,0.6021540232754441,0.6261709516367248,0.5856824749399755,0.5909420797232772,0.618071076865571,0.5896511198576028,0.57786312023161,0.6082317290693992,0.6130157498552643,0.5792889893121588,0.6035503453123816,0.5958180852601906,0.5822714266140314,0.6207317569737775,0.5815401331116601,0.566982541847234,0.6105740880100721
24,-27.737046480178833,0.5960763733638335,0.5688863162327213,0.5706454554370769,0.609753119946438,0.5874773522400795,0.6298839359221489,0.5910581327292456,0.5787543863424971,0.6056057916872178,0.5828242118523117,0.5920601415884481,0.6085490898044342,0.599794963822752,0.5864202478408781,0.6110718057389514,0.6245692365945411,0.6163770476727923,0.610677924012641,0.6011070996015646,0.5864542509152394,0.5662683966774593,0.5949882834951719,0.5836047045296465,0.6030631181132934,0.5987997324122851,0.5926679115332242,0.5963653154905788,0.579522211618358,0.5781020425170089,0.5972067500067277,0.5873965447955486,0.6021503163580646,0.6261618283821774,0.5856947201400249,0.5909451730234704,0.6180802080152263,0.5896495953894668,0.5778509522018637,0.6082278723362874,0.6130081747225459,0.5792922960935145,0.6035665281709515,0.5958275698811547,0.5822640808814233,0.6207244274195973,0.5815288696444725,0.5669900845114941,0.610577476302228
25,-27.737051963806152,0.5960749980813714,0.5688872857811074,0.5706483815220291,0.6097547271642773,0.5874789367867431,0.6298803032980552,0.5910629882149491,0.5787549667997796,0.6056062528340462,0.5828255511672883,0.5920594560884714,0.6085483882608429,0.5997979965762801,0.5864241263824536,0.611072306621538,0.6245685269590625,0.6163773509872585,0.6106775845648064,0.6011057911989799,0.586452538545331,0.5662679519365358,0.5949905134165637,0.5836029328553077,0.6030634614024887,0.5987977264182165,0.5926659935670807,0.5963674403568833,0.5795283339018,0.5780977430930173,0.5972069702093079,0.5873946907788193,0.6021493131698524,0.6261589318800838,0.5856983655354553,0.5909458910381883,0.6180834479865497,0.5896490368725559,0.57784680824372,0.60822624454567,0.6130056117343693,0.5792928679323687,0.603572182645311,0.5958305570194233,0.5822614864198926,0.6207216812965092,0.5815242613171886,0.5669921283175462,0.61057864874633
26,-27.737051963806152,0.5960749980812198,0.5688872857812134,0.5706483815222844,0.6097547271644582,0.5874789367869024,0.6298803032976966,0.5910629882154116,0.5787549667998263,0.605606252834054,0.582825551167412,0.592059456088427,0.6085483882607673,0.5997979965765623,0.5864241263828106,0.6110723066215333,0.6245685269590124,0.6163773509872642,0.6106775845647693,0.6011057911988843,0.5864525385451886,0.5662679519364975,0.5949905134167904,0.5836029328551443,0.6030634614025383,0.5987977264180295,0.5926659935669134,0.5963674403570884,0.5795283339023451,0.578097743092623,0.5972069702093197,0.5873946907786785,0.6021493131697752,0.6261589318797959,0.5856983655357917,0.5909458910382377,0.6180834479868483,0.5896490368725207,0.5778468082433593,0.608226244545513,0.613005611734122,0.5792928679324232,0.6035721826458352,0.5958305570197094,0.5822614864196624,0.620721681296256,0.5815242613167397,0.5669921283177465,0.6105786487464503
