iter,energy,gamma[0],beta[0],phi[0],gamma[1],beta[1],phi[1],gamma[2],beta[2],phi[2],gamma[3],beta[3],phi[3],gamma[4],beta[4],phi[4],gamma[5],beta[5],phi[5],gamma[6],beta[6],phi[6],gamma[7],beta[7],phi[7],gamma[8],beta[8],phi[8],gamma[9],beta[9],phi[9],gamma[10],beta[10],phi[10],gamma[11],beta[11],phi[11]
1,-17.790311753749847,0.5999091452309878,0.5997617995050825,0.6045984236316179,0.6024433094333282,0.6077910406760468,0.6334716784504975,0.5997617995050825,0.5997617995050825,0.5997617995050825,0.5997617995050825,0.6280145307117642,0.6201492431277074,0.6259082631634811,0.6136477540118338,0.6193100576805946,0.6039937021045366,0.5997617995050825,0.62188036840394,0.6119938064426116,0.6081896293401003,0.6218041676299297,0.5997617995050825,0.5997617995050825,0.6153036554470562,0.6202869906807259,0.5997617995050825,0.6005265668870707,0.6237345872381891,0.5997617995050825,0.5997617995050825,0.6179198820214078,0.6131544028467675,0.6087953278001818,0.6254383583904181,0.5997617995050825,0.5997617995050825
2,-22.617335975170135,0.5998291431288928,0.5859103129418475,0.6049948391322476,0.6037036099985765,0.6079018233552914,0.6382699067930268,0.588843240740047,0.5892786221908284,0.5963823393435808,0.5999782098383828,0.6288816165475095,0.6245852796850888,0.6290125688688123,0.6111229965175865,0.6231325653897023,0.6013814584642296,0.5915503960503252,0.6239692647013781,0.6170852234927185,0.6078756012306534,0.618429478925653,0.6095649085406417,0.601300586518121,0.6231769056974067,0.6287525141849583,0.5965039904073159,0.5935057552128904,0.6207814118197492,0.6043419731492365,0.5939682649023995,0.6303920369666168,0.6210235091690104,0.6037767722285518,0.6239783496028208,0.5922070631890601,0.6015617725611536
3,-26.41486981511116,0.6002735680894756,0.5699016607651523,0.6034278847830534,0.6031309565543295,0.6125914052830104,0.6476272784561544,0.5751653021862723,0.5709341002098743,0.5938795523862307,0.6035622936444621,0.6323969674348181,0.6283196241770197,0.6346812403299611,0.6124247607072935,0.6291100581980822,0.5949434128839549,0.5852982568602254,0.6268701065031739,0.6246286888340049,0.6094926401357288,0.6120010697639909,0.6253166627285074,0.6088379237358127,0.6359516919621405,0.6378799838139813,0.5925420575183528,0.5911245790541639,0.6162447179261827,0.6045134777456865,0.5867589285180629,0.6519626911174894,0.6345133923863564,0.5964058989300306,0.6191096648978449,0.5820635410683678,0.6050216903867142
4,-27.306979060173035,0.6008915889075742,0.5604084921700111,0.6088012226038679,0.6009200502903376,0.6090018465898593,0.6529346873026719,0.5719757019680642,0.5612312968633891,0.5916613282921022,0.5975132171663833,0.6336176388101027,0.6314873768596115,0.6343467764483387,0.6093117782017311,0.6223554658037334,0.5997868867139673,0.5898009072326564,0.6227553688532662,0.6247975925448802,0.6116619221254729,0.6128598939629492,0.6327891530410366,0.6123573964190969,0.6358641308354629,0.63909777007851,0.5900471542719333,0.5879797808421363,0.6068942713886208,0.5989969930168134,0.5838752244775156,0.6647061282474023,0.6386204352627219,0.5932683426899126,0.6163757548234663,0.5744022399257546,0.6092292027085322
5,-27.546190828084946,0.6008363745202944,0.5592145078807835,0.6087466537061966,0.6004599378815468,0.6078697139673009,0.6541824643427373,0.5708924739030748,0.5556086237244627,0.5898308433758488,0.594087407585533,0.6342018188407574,0.629052298045693,0.6334567333013064,0.6111927689025675,0.6176243022298747,0.5997645908588568,0.591654941754764,0.6193168560351384,0.6232313120710974,0.6127794799299149,0.6102300140243682,0.6328368476542986,0.6150615821173114,0.630717953251564,0.6388300902192824,0.5864615858579774,0.5884262090131424,0.6028772119266158,0.5931117349093687,0.5843008385483007,0.664283453900343,0.6417446555223774,0.5929443011309516,0.611240715438982,0.5702657278896054,0.613956847538276
6,-27.667981892824173,0.6016546214788604,0.5602246719170384,0.6105521144818976,0.6008476823504885,0.6072255802459545,0.6563529949195986,0.5705361466830969,0.5535770926830773,0.5912618831291068,0.5929972874134322,0.6363600837348292,0.6275365300081014,0.6337954259094554,0.613777405595096,0.6163300233559474,0.6034616884012205,0.5926967930844258,0.6183791245899124,0.624122413630889,0.6125561754999646,0.6100657080565638,0.6320441478000746,0.6183000487644896,0.6286315019620946,0.6407940457834931,0.5841912937008485,0.587229013032385,0.6031580168371267,0.591272133554503,0.5872478340543906,0.664829741108409,0.6434142775450693,0.5939250057041311,0.6091771318369594,0.5679759601602683,0.6180332398176654
7,-27.697195768356323,0.6019484829432262,0.561896700940046,0.6102368628437579,0.6029473351299621,0.6072058614452592,0.6554880387551911,0.5715276199305792,0.5550814763067834,0.5912057802313844,0.5930289655671058,0.6366752479523498,0.6263756818277167,0.6332103598433957,0.6144055666757614,0.6154860478098647,0.6039562576448694,0.5927037563023728,0.6185856807736545,0.6234231408515012,0.6113931783324915,0.609910027049822,0.6299287589437694,0.6182609727796138,0.6281936689884982,0.6403501702527974,0.5842722483461671,0.5867023163563747,0.6040247625849867,0.5911851060015619,0.5877742115402373,0.6632220254274772,0.6434016730459219,0.594866830155041,0.6090407476391356,0.5680257185475559,0.6181550476473872
8,-27.710394859313965,0.6023833871189777,0.5630391102363757,0.6090350030712983,0.6057679186810583,0.6079135043880404,0.654915645412493,0.5727154557624828,0.5567620299614242,0.5913671010041549,0.5938441420430993,0.6375562756167823,0.6258223696597357,0.6332838493489054,0.6157469456189297,0.6154000403238366,0.6039707800119751,0.5919297772759161,0.6190621714440585,0.6236326734424473,0.6099367571370855,0.6104226180268019,0.6283727978352774,0.6178601276438641,0.6298590712517906,0.6394858019354006,0.5848614220385212,0.5850854606860109,0.6046758171261221,0.5916406862772134,0.5880997018990514,0.6627495566980433,0.6449631657807842,0.5958536123696598,0.6090822443350464,0.5679394273854735,0.6177426714653913
9,-27.728985846042633,0.6025672505314318,0.5619452252601679,0.6087999604925507,0.6060768933205152,0.6081068300773874,0.6557383226348787,0.5721288004033611,0.5550629630902869,0.5907348053214104,0.5933044472637566,0.6379663078314821,0.6259854966398125,0.6333188923218205,0.6164810322921254,0.6144929272243644,0.6040571103361536,0.592460707317285,0.6185177324570531,0.6239836387679313,0.6102490303713984,0.6101795515896494,0.6283977676758287,0.6186682651929682,0.6302652894118056,0.6395713403738985,0.5842187030869103,0.5849845533061911,0.6037079452323516,0.5904773556539813,0.5879718203641803,0.6639802258849146,0.6455852922919986,0.5957239971575329,0.608515986660045,0.5668330415634097,0.6187981667881028
10,-27.73197451233864,0.6031711349917211,0.5618579459487074,0.6085931838989851,0.606331111091307,0.6081177862786442,0.6561518463299886,0.571701467192773,0.5534348810693159,0.5905954805251197,0.5929308585612593,0.6382323869355678,0.6257009225617559,0.6322788854431934,0.616987066791303,0.6134031941909641,0.6046871012176744,0.5930278241842142,0.6174352668918951,0.6244420669791152,0.6102308564756329,0.6099401413273148,0.6280301800377329,0.6196139000032185,0.6303250300018016,0.6394224967801793,0.583610668374436,0.5845879771498304,0.6031259534725977,0.5897861133010088,0.5884798080779511,0.6651495174727197,0.6460598106635715,0.5958127661050002,0.6076981629075823,0.5660821346177731,0.6205115085298425
11,-27.73352798819542,0.6030695699204232,0.5624575321282934,0.608675810979428,0.6062633617281569,0.6083267754086147,0.6560830132567651,0.5717925306027263,0.5533943444436091,0.590825067997348,0.5928010596951455,0.6379751233292762,0.6258798221108355,0.6315472389804584,0.6168837164652891,0.6132948446886581,0.6044706870195323,0.5936421473167267,0.6172071975925989,0.6247504879564327,0.6100766377779044,0.6098570622202406,0.6277955764160019,0.6194127093362806,0.6304656799781277,0.6393253330008057,0.5839033074342924,0.5843957007516017,0.6030971310704256,0.589385898389157,0.5888082109719196,0.6650522108548207,0.6458119432916006,0.5958763559997705,0.6080440392827828,0.5667283858756504,0.6206745448965844
12,-27.7354693710804,0.6026577062571082,0.5632926896709496,0.6085316689879403,0.6064796423047268,0.6088975498857182,0.6558863593080814,0.5720028777210374,0.5544922760007424,0.5912898841452058,0.5932104541418732,0.6376826141390972,0.6258651883875944,0.631397265075135,0.616749546366964,0.6139170146595911,0.6039182724456159,0.5934754293753117,0.6177379924477869,0.6247979434109986,0.6097749183445876,0.6098614890197328,0.6276764166900126,0.6192210394026878,0.630752211118276,0.6394200745702946,0.5843083178641582,0.5842904827190638,0.6037593069976964,0.5895753987583234,0.5889373994849851,0.6643515728620952,0.6455108017645204,0.5958452732502869,0.6086766660706314,0.5677397935134061,0.6200593114857615
13,-27.736170381307602,0.6027611832714057,0.5629167685274886,0.6085353286505,0.6065143093334515,0.6088992283498673,0.6561204264638251,0.5718851546984345,0.5540134038917879,0.5910101063972936,0.5930131788572014,0.6378169857509816,0.625797551336417,0.6316048263630367,0.6166245865107574,0.6138594711765513,0.6039860819361793,0.5933736483651457,0.6176201107234637,0.6248003803006991,0.6098053626192221,0.6097976750878505,0.6279113149572094,0.619310898109061,0.6306125820695617,0.6396040077077007,0.5841629080930109,0.58411691385293,0.6035149904943292,0.5894794988554396,0.5887391876923863,0.6647316218590359,0.645710356800427,0.5958285658850893,0.6083750817226466,0.567329152838383,0.6201033525980997
14,-27.736170381307602,0.602761183271464,0.5629167685273391,0.6085353286505131,0.6065143093334909,0.6088992283498678,0.6561204264639281,0.5718851546984106,0.5540134038916441,0.591010106397221,0.5930131788571398,0.6378169857510518,0.6257975513364178,0.6316048263631284,0.6166245865107329,0.6138594711765359,0.6039860819362274,0.5933736483651361,0.6176201107234549,0.6248003803006751,0.609805362619202,0.6097976750878685,0.6279113149572876,0.6193108981090748,0.6306125820695598,0.6396040077077586,0.5841629080929677,0.5841169138528656,0.603514990494249,0.5894794988554228,0.5887391876923257,0.6647316218591719,0.6457103568005332,0.5958285658850598,0.6083750817226128,0.5673291528382212,0.6201033525981219
